sample pack,message order,message,random,patterns,single characteres,onomatopaic,phatic,metalinguistics,someone,political,comic,statements,html/command,emoticons,senseless,slogans,questions,bully,demanding,egoic,complaint,love,humour,musical,support
0,1,Som,,,,,x,,,,,,,,,,,,,,,,,x,
0,2,Eai,,,,,x,,,,,,,,,,x,,,,,,,,
0,3,Amor,,,,,,,,,,x,,,,,,,,,,x,,,
0,4,Salatao,,,,,,,x,,,,,,,,,,,,,,x,,
0,5,Serio,,,,,,x,,,,,,,,,,,,,,,,,x
0,6,Vitor Kissil é nois,,,,,,,x,,,,,,,,,,,,,,,,x
0,7,Lolla pirada,,,,,,,x,,,,,,,,,x,,,,,,,
0,8,BASS,,,,,,x,,,,,,,,,,,,,,,,x,
0,9,E ai people,,,,,x,,,,,,,,,,x,,,,,,,,
0,10,"Bass ow bass, bass bass ow bass",,,,,,x,,,,,,,,,,,,,,,,x,
0,11,Cheguei,,,,,x,,,,,,,,,,,,,,,,,,
0,12,Juro que nao vou causar,,,,,,x,,,,,,,,,,,,,,,x,,
0,13,Hey,,,,,x,,,,,,,,,,,,,,,,,,
0,14,É nois lollao,,,,,x,,x,,,,,,,,,,,,,,x,,
0,15,Doido,,,,,,x,,,,,,,,,,,,,,,,,x
0,16,Lokoo,,,,,,x,,,,,,,,,,,,,,,,,x
0,17,Japonês do tambor do arrocha,,,,,,,x,,,,,,,,,,,,,,x,,
0,18,Bianca amiga linda,,,,,,,x,,,,,,,,,,,,,,x,,
0,19,Baooo,,,,,,x,,,,,,,,,,,,,,,,,x
0,20,Acordaaaaaa!!!!,,,,,x,,,,,,,,,,,,x,,,,,,
0,21,Oi oi mocinha,,,,,x,,,,,,,,,,,x,,,,,,,
0,22,Jcjcdjxjxj h h,,,,x,,,,,,,,,x,,,,,,,,,,
0,23,Sssss$,,,,x,,,,,,,,,x,,,,,,,,,,
0,24,Hakrhhabwnfic,,,,x,,,,,,,,,x,,,,,,,,,,
0,25,$,,,x,,,,,,,,,,x,,,,,,,,,,
0,26,Bianca?!,,,,,,,x,,,,,,,,,,,,,,,,
0,27,#####,,x,,,,,,,,,,,x,,,,,,,,,,
0,28,Kkk,,,,,,,,,x,,,,,,,,,,,,,,
0,29,"Com consciencia na mente, a mente não mente!",,,,,,,,,,x,,,,x,,,,,,,,,
0,30,Pipipipi,,,,x,,,,,,,,,,,,,,,,,,,
0,31,Solta o som no PAAAAA! bass,,,,,,x,,,,,,,,,,,x,,,,,,
0,32,Vvvvvv,,x,,,,,,,,,,,x,,,,,,,,,,
0,33,Bonjour!!! :),,,,,x,,,,,,,,,,,,,,,,,,
0,34,Jhony pirikiitooo,,,,,,,x,,,,,,,,,,,,,,,,
0,35,Gggjh,x,,,,,,,,,,,,x,,,,,,,,,,
0,36,Fffff,,,,x,,,,,,,,,,,,,,,,,,,
0,37,Txhcuxuxuc,,,,x,,,,,,,,,,,,,,,,,,,
0,38,Shshshshshshs,,,,x,,,,,,,,,,,,,,,,,,,
0,39,Jxuxux,,,,x,,,,,,,,,,,,,,,,,,,
0,40,Oooooo,,,,x,,,,,,,,,,,,,,,,,,,
0,41,Abre o PA pelo amor de Deus! basss,,,,,,x,,,,,,,,,,,x,,,,,,
0,42,Cvcgff,,,,x,,,,,,,,,,,,,,,,,,,
0,43,Olaaaa,,,,,x,,,,,,,,,,,,,,,,,,
0,44,Lolololok,,,,,,x,,,,,,,,,,,,,,,,,x
0,45,Epa,,,,,x,,,,,,,,,,,,,,,,,,
0,46,Sim.,,,,,x,,,,,,,,,,,,,,,,,,
0,47,Som,,,,,x,,,,,,,,,,,,,,,,,,
0,48,Hahaha,,,,,,,,,x,,,,,,,,,,,,,,
0,49,Sin,,,,,,x,,,,,,,,,,,,,,,,,x
0,50,Sim?,,,,,x,,,,,,,,,,,,,,,,,,
0,51,Opa lele,,,,,x,,,,,,,,,,,,,,,,,,
0,52,#ssssss,,,,x,,,,,,,,,,,,,,,,,,,
0,53,Som,,,,,x,,,,,,,,,,,,,,,,,,
0,54,Som,,,,,x,,,,,,,,,,,,,,,,,,
0,55,Sim,,,,,,x,,,,,,,,,,,,,,,,,x
0,56,Hash,,,,x,,,,,,,,,,,,,,,,,,,
0,57,Sim,,,,,,x,,,,,,,,,,,,,,,,,x
0,58,Ppppp,,x,,,,,,,,,,,x,,,,,,,,,,
0,59,Fora temer,,,,,,,,x,,,,,,,,,,,,,,,
0,60,Sim!,,,,,,x,,,,,,,,,,,,,,,,,x
0,61,Jajajajajajaja,,,,,,,,,x,,,,,,,,,,,,,,
0,62,Jjjjj,,,,x,,,,,,,,,,,,,,,,,,,
0,63,Foraaaa,,,,,,,,x,,,,,,,,,,,,,,,
0,64,Fora temer,,,,,,,,x,,,,,,,,,,,,,,,
0,65,Fora Temer!,,,,,,,,x,,,,,,,,,,,,,,,
0,66,Roger nerd,,,,,,,x,,,,,,,,,,,,,,,,
