,,,random,patterns,single characters,onomatopaic,phatic,metalinguistical,someone,political,comic,statements,html/comands,emoticons,senseless,slogans,questions,bully,demanding,egoic,complaint,love,humour,musical,support
0,1,6,,,x,,,,,,,,,,,,,,,,,,,,
0,2,<>,,x,,,,,,,,,,,,,,,,,,,,,
0,3,abcdefghijk,x,,,,,,,,,,,,,,,,,,,,,,
0,4,.,,,x,,,,,,,,,,,,,,,,,,,,
0,5,bvn,x,,,,,,,,,,,,,,,,,,,,,,
0,6,",",,,x,,,,,,,,,,,,,,,,,,,,
0,7,.,,,x,,,,,,,,,,,,,,,,,,,,
0,8,.,,,x,,,,,,,,,,,,,,,,,,,,
0,9,.,,,x,,,,,,,,,,,,,,,,,,,,
0,10,l,,,x,,,,,,,,,,,,,,,,,,,,
0,11,o,,,x,,,,,,,,,,,,,,,,,,,,
0,12,i,,,x,,,,,,,,,,,,,,,,,,,,
0,13,u,,,x,,,,,,,,,,,,,,,,,,,,
0,14,7,,,x,,,,,,,,,,,,,,,,,,,,
0,15,a,,,x,,,,,,,,,,,,,,,,,,,,
0,16,;,,,x,,,,,,,,,,,,,,,,,,,,
0,17,l,,,x,,,,,,,,,,,,,,,,,,,,
0,18,k,,,x,,,,,,,,,,,,,,,,,,,,
0,19,o,,,x,,,,,,,,,,,,,,,,,,,,
0,20,9,,,x,,,,,,,,,,,,,,,,,,,,
0,21,1,,,x,,,,,,,,,,,,,,,,,,,,
0,22,``,,x,,,,,,,,,,,,,,,,,,,,,
3,23,asdasfd,x,,,,,,,,,,,,,,,,,,,,,,
3,24,sdfasfgdfg,x,,,,,,,,,,,,,,,,,,,,,,
3,25,aaaaaa,,x,,,,,,,,,,,,,,,,,,,,,
3,26,eeeee,,,,x,,,,,,,,,,,,,,,,,,,
3,27,ccc,,x,,,,,,,,,,,,,,,,,,,,,
3,28,n,,,x,,,,,,,,,,,,,,,,,,,,
3,29,h,,,x,,,,,,,,,,,,,,,,,,,,
3,30,h,,,x,,,,,,,,,,,,,,,,,,,,
3,31,h,,,x,,,,,,,,,,,,,,,,,,,,
3,32,h,,,x,,,,,,,,,,,,,,,,,,,,
3,33,h,,,x,,,,,,,,,,,,,,,,,,,,
3,34,.,,,x,,,,,,,,,,,,,,,,,,,,
3,35,.,,,x,,,,,,,,,,,,,,,,,,,,
3,36,.,,,x,,,,,,,,,,,,,,,,,,,,
1,37,..,,x,,,,,,,,,,,,,,,,,,,,,
0,38,.,,,x,,,,,,,,,,,,,,,,,,,,
0,39,.,,,x,,,,,,,,,,,,,,,,,,,,
0,40,.,,,x,,,,,,,,,,,,,,,,,,,,
0,41,.,,,x,,,,,,,,,,,,,,,,,,,,
0,42,.,,,x,,,,,,,,,,,,,,,,,,,,
0,43,.,,,x,,,,,,,,,,,,,,,,,,,,
0,44,.,,,x,,,,,,,,,,,,,,,,,,,,
0,45,.,,,x,,,,,,,,,,,,,,,,,,,,
0,46,.,,,x,,,,,,,,,,,,,,,,,,,,
0,47,.,,,x,,,,,,,,,,,,,,,,,,,,
0,48,.,,,x,,,,,,,,,,,,,,,,,,,,
0,49,.,,,x,,,,,,,,,,,,,,,,,,,,
0,50,.,,,x,,,,,,,,,,,,,,,,,,,,
0,51,..,,x,,,,,,,,,,,,,,,,,,,,,
0,52,.,,,x,,,,,,,,,,,,,,,,,,,,
0,53,.,,,x,,,,,,,,,,,,,,,,,,,,
0,54,.,,,x,,,,,,,,,,,,,,,,,,,,
0,55,.,,,x,,,,,,,,,,,,,,,,,,,,
0,56,.,,,x,,,,,,,,,,,,,,,,,,,,
0,57,.,,,x,,,,,,,,,,,,,,,,,,,,
0,58,.,,,x,,,,,,,,,,,,,,,,,,,,
0,59,.,,,x,,,,,,,,,,,,,,,,,,,,
0,60,.,,,x,,,,,,,,,,,,,,,,,,,,
0,61,.,,,x,,,,,,,,,,,,,,,,,,,,
0,62,.,,,x,,,,,,,,,,,,,,,,,,,,
0,63,.,,,x,,,,,,,,,,,,,,,,,,,,
0,64,.,,,x,,,,,,,,,,,,,,,,,,,,
0,65,..,,x,,,,,,,,,,,,,,,,,,,,,
0,66,.,,,x,,,,,,,,,,,,,,,,,,,,
0,67,.,,,x,,,,,,,,,,,,,,,,,,,,
0,68,.,,,x,,,,,,,,,,,,,,,,,,,,
0,69,Ja deu certo,,,,,,x,,,,,,,,,,,,,,,,,x
0,70,oi,,,,,x,,,,,,,,,,,,,,,,,,
0,71,Legal isso,,,,,,x,,,,,,,,,,,,,,,,,x
0,72,Ola,,,,,x,,,,,,,,,,,,,,,,,,
0,73,I,,,x,,,,,,,,,,,,,,,,,,,,
0,74,Tudo bem?,,,,,x,,,,,,,,,,,,,,,,,,
0,75,UU,,,,x,,,,,,,,,,,,,,,,,,,
0,76,&%$#,x,,,,,,,,,,,,,,,,,,,,,,
0,77,Gente que lindo,,,,,,x,,,,,,,,,,,,,,,,,x
0,78,Funciona!,,,,,,x,,,,,,,,,,,,,,,,,x
0,79,#ERROR!,,,,,,,,,,,x,,,,,,,,,,,,
0,80,T,,,x,,,,,,,,,,,,,,,,,,,,
0,81,$\#@,x,,,,,,,,,,,,,,,,,,,,,,
0,82,W,,,x,,,,,,,,,,,,,,,,,,,,
0,83,™,x,,,,,,,,,,,,,,,,,,,,,,
0,84,™,x,,,,,,,,,,,,,,,,,,,,,,
0,85,♥,,,,,,,,,,,,x,,,,,,,,,,,
0,86,Ddddd,,x,,,,,,,,,,,,,,,,,,,,,
0,87,Bagulho doido,,,,,,x,,,,,,,,,,,,,,,,,x
0,88,V,,,x,,,,,,,,,,,,,,,,,,,,
0,89,Aaaaaaa,,x,,,,,,,,,,,,,,,,,,,,,
0,90,...........,,x,,,,,,,,,,,,,,,,,,,,,
0,91,[][][][][],,x,,,,,,,,,,,,,,,,,,,,,
0,92,¶0Putscats,x,,,,,,,,,,,,,,,,,,,,,,
0,93,Zeus,,,,,,,,,,x,,,,,,,,,,,,,
0,94,Remix,,,,,,x,,,,,,,,,,,,,,,,x,x
0,95,Putacatspitscats,x,,,,,,,,,,,,,,,,,,,,,,
0,96,111112222,x,x,,,,,,,,,,,,,,,,,,,,,
0,97,/compressor,,,,,,,,,,,x,,,,,,,,,,,,
0,98,Hut,x,,,,,,,,,,,,,,,,,,,,,,
0,99,Hut,x,,,,,,,,,,,,,,,,,,,,,,
0,100,Tstststs,,x,,,,,,,,,,,,,,,,,,,,,
0,101,9876778976,x,,,,,,,,,,,,,,,,,,,,,,
0,102,Beatboxxxxxzx,,,,,,x,,,,,,,,,,,,,,,,,x
0,103,T/2^t,x,,,,,,,,,,,,,,,,,,,,,,
0,104,π,,,x,,,,,,,,,,,,,,,,,,,,
0,105,Lalalalala,,,,x,,,,,,,,,,,,,,,,,,,
0,106,ttsttstts,,x,,,,,,,,,,,,,,,,,,,,,
0,107,#ERROR!,,,,,,,,,,,x,,,,,,,,,,,,
0,108,(-%%$$##%,x,,,,,,,,,,,,,,,,,,,,,,
0,109,Smith?,,,,,,,x,,,,,,,,x,,,,,,,,
0,110,@\#$%-+,x,,,,,,,,,,,,,,,,,,,,,,
0,111,Ótima ideia,,,,,,x,,,,,,,,,,,,,,,,,x
0,112,Oi,,,,,x,,,,,,,,,,,,,,,,,,
0,113,×××,x,,,,,,,,,,,,,,,,,,,,,,
0,114,Gggg,,x,,,,,,,,,,,,,,,,,,,,,
0,115,Hahahah,,,,,,,,,x,,,,,,,,,,,,,,
0,116,Gugrfbjbswb,x,,,,,,,,,,,,,,,,,,,,,,
0,117,¥¥¥¥¥¥¥¥¥¥,,x,,,,,,,,,,,,,,,,,,,,,
0,118,Parabens aos envolvidos,,,,,,x,,,,,,,,,,,,,,,,,x
0,119,Agora sim,,,,,,x,,,,,,,,,,,,,,,,,x
0,120,/^&,x,,,,,,,,,,,,,,,,,,,,,,
0,121,Live electonics idea,,,,,,x,,,,,,,,,,,,,,,,,x
0,122,Avante humanos!,,,,,,,,x,,,,,,,,,,,,,,,
0,123,/^6,x,,,,,,,,,,,,,,,,,,,,,,
0,124,que top,,,,,,x,,,,,,,,,,,,,,,,,x
0,125,////,,x,,,,,,,,,,,,,,,,,,,,,
0,126,Fora temer!,,,,,,,,x,,,,,,,,,,,,,,,
0,127,rodolfo aqui,,,,,,,x,,,,,,,,,,,x,,,,,
0,128,FORA TEMER,,,,,,,,x,,,,,,,,,,,,,,,
0,129,Anna layza,,,,,,,x,,,,,,,,,,,x,,,,,
0,130,Sucesso,,,,,,x,,,,,,,,,,,,,,,,,x
0,131,UUUUUU,,,,x,,,,,,,,,,,,,,,,,,,
0,132,Dois hajkabshha,,,,,,,,,,x,,,,,,,,,,,,,x
0,133,ssssssssss,,x,,,,,,,,,,,,,,,,,,,,,
0,134,.......,,x,,,,,,,,,,,,,,,,,,,,,
0,135,hsdghjffgg,x,,,,,,,,,,,,,,,,,,,,,,
0,136,".,.,.,.,",,x,,,,,,,,,,,,,,,,,,,,,
