,,,random,patterns,single characteres,onomatopaic,phatic,metalinguistical,someone,political,comic,statements,html/command,emoticon,senseless,slogans,questions,bully,demanding,egoic,complaint,love,humour,musical,support
0,1,a,,,x,,,,,,,,,,x,,,,,,,,,,
3,2,A,,,x,,,,,,,,,,x,,,,,,,,,,
0,3,sdgsdgdgsg,,x,,,,,,,,,,,x,,,,,,,,,,
0,4,a,,,x,,,,,,,,,,x,,,,,,,,,,
0,5,192.168.0.101:8080,,,,,,x,,,,,,,,,,,,,,,,,
0,6,Earth is flat,,,,,,,,,,x,,,,,,,,,,,,,
0,7,Bingo!,,,,x,,,,,,,,,,,,,,,,,,,x
0,8,Gogogo,,x,,,,,,,,,,,,,,,,,,,,,x
0,9,Ahauhauahahahauua,,,,,,,,,x,,,,,,,,,,,,,,
0,10,alguém quer tc?,,,,,x,,,,,,,,,,,,,,,,,,
0,11,Tunks tunks tunks tunks tunks,,,,x,,,,,,,,,,,,,,,,,,x,
0,12,Opa,,,,,x,,,,,,,,,,,,,,,,,,
0,13,hi,,,,,x,,,,,,,,,,,,,,,,,,
0,14,Oi,,,,,x,,,,,,,,,,,,,,,,,,
0,15,lare lare lare lare lare lare,,x,,,,,,,,,,,,,,,,,,,,x,
0,16,gi,x,,,,,,,,,,,,x,,,,,,,,,,
0,17,Putz putz,,,,x,,,,,,,,,,,,,,,,,,x,
0,18,Irraaaaaaaa,,,,x,,,,,,,,,,,,,,,,,,,x
0,19,ahhhh safada,,,,,,,,,x,,,,,,,,,,,,,,x
0,20,looooooooooooooooooon,,x,,,,,,,,,,,,,,,,,,,x,x,
0,21,fida,x,,,,,,,,,,,,,,,,,,,,,,x
0,22,FORA TEMER,,,,,,,,x,,,,,,x,,,,,,,,,
0,23,Tum BA tss,,,,x,,,,,,,,,,,,,,,,,,x,
0,24,:):),,,,,,,,,,,,x,,,,,,,,,,,x
0,25,foda,,,,,,x,,,,,,,,,,,,,,,,,x
0,26,Earth is Flat,,,,,,,,,,x,,,,x,,,,,,,,,
0,27,Feliz aniversário DJ!!!,,,,,,,x,,,,,,,,,,,,,,,,x
0,28,yes,,,,,,,,,,x,,,,,,,,,,,,,x
0,29,),,,,,,,,,,,,x,x,,,,,,,,,,
0,30,parabens,,,,,,,,,,x,,,,,,,,,,,,,x
0,31,Hihi!!,,,,,,,,,x,,,,,,,,,,,,,,
0,32,Parabéns  pra voce,,,,,,,,,,x,,,,,,,,,,,,,x
0,33,Huahauhauahja,,,,,,,,,x,,,,,,,,,,,,,,
0,34,felicidades,,,,,,,,,,x,,,,,,,,,,,,,x
0,35,DJ is on the room,,,,,,,,,x,,,,,,,,,,,,,,
0,36,AE PARABÉNS,,,,,,x,,,,,,,,,,,,,,,,,x
0,37,Nessa data querida,,,,,,,,,,x,,,,,,,,,,,,,x
0,38,kkkk,,,,,,,,,x,,,,,,,,,,,,,,
0,39,pizza,,,,,,,,,,x,,,,,,,,,,,x,,
0,40,###,,x,,,,,,,,,,,x,,,,,,,,,,
0,41,kkkk,,,,,,,,,x,,,,,,,,,,,,,,
0,42,$$$,,x,,,,,,,,,,,x,,,,,,,,,,
0,43,Hahahaha,,,,,,,,,x,,,,,,,,,,,,,,
0,44,pom,,,,x,,,,,,,,,,,,,,,,,,x,
0,45,$,,,x,,,,,,,,,,x,,,,,,,,,,
0,46,pom,,,,x,,,,,,,,,,,,,,,,,,x,
0,47,Feliz aniversário !!!!,,,,,,,,,,x,,,,,,,,,,,,,x
0,48,Ôooooooooooooooooooooooooooo,,,,x,,,,,,,,,,,,,,,,,,x,
0,49,pom,,,,x,,,,,,,,,,,,,,,,,,x,
0,50,money,,,,,,,,,,x,,,,x,,,,,,,,,
0,51,Tommy can you hear me?,,,,,,,,,,x,,,,,,,,,,,x,,
0,52,&,,,x,,,,,,,,,,x,,,,,,,,,,
0,53,-,,,x,,,,,,,,,,x,,,,,,,,,,
0,54,#ERROR!,x,,,,,,,,,,,,,,,,,,,,,,x
0,55,pom,,,,x,,,,,,,,,,,,,,,,,,x,
0,56,(),,,,,,,,,,,,x,x,,,,,,,,,,
0,57,moneey,,,,,,,,,,x,,,,x,,,,,,,,,
0,58,Cloud,,,,,,,,,,x,,,,x,,,,,,,,,
0,59,bbbbb,,x,,,,,,,,,,,x,,,,,,,,,,
0,60,Uhu!!!,,,,x,,,,,,,,,,,,,,,,,,,x
0,61,Uuhhhhuuuuu,,,,x,,,,,,,,,,,,,,,,,,,x
0,62,0,,,x,,,,,,,,,,x,,,,,,,,,,
0,63,hiiiiii,,,,,x,,,,,,,,,,,,,,,,,,x
0,64,Martha¡!!!!!!!!,,,,,,,x,,,,,,,,,,,,,,,,x
0,65,Pa pa,,,,x,,,,,,,,,,,,,,,,,,,
0,66,Tem doh,,,,,,,,,,x,,,,,,,,,x,,,,
0,67,888,,x,,,,,,,,,,,x,,,,,,,,,,
0,68,Aaaaa,,x,,,,,,,,,,,x,,,,,,,,,,
0,69,111,,x,,,,,,,,,,,x,,,,,,,,,,
0,70,Is there anybody out there?,,,,,x,,,,,,,,,,,,,,,,,,
0,71,robsin,x,,,,,,,,,,,,,,,,,x,,,,,
0,72,//do not run,,,,,,,,,,x,,,,,,,x,,,,,,
0,73,§§§§§§§§§§§§§§§§§,,x,,,,,,,,,,,x,,,,,,,,,,
0,74,ggggg,,x,,,,,,,,,,,x,,,,,,,,,,
0,75,444,,x,,,,,,,,,,,x,,,,,,,,,,
0,76,blééé,,,,x,,,,,,,,,,,,,,,x,,,,
0,77,Fuck :(,,,,,,,,,,x,,,,,,,,,x,,,,
0,78,O cowboy vai te pegar!!!,,,,,,,,,,x,,,,,,,,,,,x,,
2,79,yyyytt,,x,,,,,,,,,,,x,,,,,,,,,,
