,,messages,single characteres,random ,patterns,onomatopaic,phatic,metalinguistic,someone,political,comic,statements,emoticons,html/command,senseless,slogans,questions,bully,demanding,egoic,complaint,love,humour,musical,support
0,1,.,x,,,,x,,,,,,,,x,,,,,,,,,,
0,2,.,x,,,,x,,,,,,,,x,,,,,,,,,,
0,3,a,x,,,,x,,,,,,,,x,,,,,,,,,,
0,4,.,x,,,,x,,,,,,,,x,,,,,,,,,,
0,5,alo,,,,,x,,,,,,,,,,,,,,,,,,
0,6,Alo,,,,,x,,,,,,,,,,,,,,,,,,
0,7,1,x,,,,,,,,,,,,x,,,,,,,,,,
0,8,Heeey,,,,,x,,,,,,,,,,,,,,,,,,
0,9,Gggggg,,,x,,,,,,,,,,x,,,,,,,,,,
0,10,Kkkkk,,,,x,,,,,x,,,,,,,,,,,,x,,x
0,11,Mandado para o seu nome cheio baixo,,,,,,,,,,x,,,,x,,,,,,,,,
0,12,------,,,x,,,,,,,,,,x,,,,,,,,,,
0,13,https://www.facebook.com/events/1603351883299314/?ti=icl,,,,,,,,,,,,x,,,,,,,,,,,
0,14,Hahahja,,,,x,,,,,x,,,,,,,,,,,,x,,x
0,15,Cheias e egxwweuywwgcuhbo hdhjjkio,,x,,,x,,,,,,,,x,,,,,,,,,,
0,16,Do it,,,,,,,,,,x,,,,x,,,,,,,,,
0,17,Hoje já deu conta se sabe com com c v n bjs de com a minha cara que tem um pouco em,,,,,,,,,,x,,,x,,,,,,,,,,
0,18,Seu jeito inocente,,,,,,,,,,x,,,,x,,,,,,,,,
0,19,Haja,,,,x,,,,,x,,,,,,,,,,,,x,,x
0,20,Disk chegando bem bem mais bbonita que é tem eum que etapa complementar ao vivo no banco do filme que tem que ser a gente não sei,,,,,,,,,,x,,,x,,,,,,,,,,
0,21,De com a sua vida e o a vou te mando em 1h de e que tem um pouco que,,,,,,,,,,x,,,x,,,,,,,,,,
0,22,🙏🏼,,,,,,,,,,,x,,,,,,,,,,,,x
0,23,Vi que tem que ter um filho de uma pessoa de com o Mimo festival internacional do trabalho de hoje,,x,,,,,,,,,,,x,,,,,,,,,,
0,24,Pare,,,,,,x,,,,,,,,,,,x,,,,,,
0,25,Vou tentar dormir com um sorriso,,,,,,,,,,x,,,,,,,,x,,,,,
0,26,Boa,,,,,,x,,,,,,,,,,,,,,,,,x
0,27,Vou tentar dormir um pouquinho mais que tem um monte de coisa,,,,,,,,,,x,,,,,,,,x,,,,,
0,28,......,,,x,,x,,,,,,,,x,,,,,,,,,,
0,29,Vou fazer hoje é é noixx,,,,,,,,,,x,,,,,,,,x,,,,,
0,30,Alou,,,,,x,,,,,,,,,,,,,,,,,,
0,31,Vou fazer hoje à noite no centro da capital paulista tem uma pessoa que é noixx,,,,,,,,,,x,,,,,,,,x,,,,,
0,32,Hhahaha yggftyhvhjjn,,x,,,,,,,,,,,,,,,,,,,,,x
0,33,Vou YAHN a minha opinião é que tem que ter uma vida que eu faço isso por mim e eu não sei o que é,,,,,,,,,,x,,,,,,,,x,,,,,
0,34,G subduction heck jeux j'en,,,,,,,,,,x,,,x,,,,,,,,,,
0,35,O seu perfil no centro da capital do país,,,,,,,,,,x,,,,x,,,,,,,,,
0,36,Ah oui,,,,,x,,,,,,,,,,,,,,,,,,x
0,37,Show me the money,,,,,,,,,,x,,,,x,,,,,,,,,
0,38,Tudo de bom11111,,,,,,,,,,x,,,,,,,,,,,,,x
0,39,Here,,,,,,,,,,,,,,,,,,,,,,,
0,40,A minha mãe é uma coisa que tem uma pessoa,,,,,,,,,,x,,,,x,,,,,,,,,
0,41,Show me the meaning of the money,,,,,,,,,,x,,,,x,,,,,,,,,
0,42,Ouhhh yeahhhh,,,,,,x,,,,,,,,,,,,,,,,,x
0,43,cada cabeça no seu pescoço,,,,,,,,,,x,,,,x,,,,,,,,,
0,44,biru apok,,x,,,,,,,,,,,x,,,,,,,,,,
0,45,That's great news,,,,,,x,,,,,,,,,,,,,,,,,x
0,46,dada,,,,,,,,,,x,,,,x,,,,,,,,,
0,47,Ouuhhh ieahaaaaa,,,,x,,,,,,,,,,,,,,,,,x,,x
0,48,Coisa de hoje é dia,,,,,,,,,,x,,,,x,,,,,,,,,
0,49,(((())))),,,x,,,,,,,,,,x,,,,,,,,,,
0,50,$$$$,,,x,,,,,,,,,,x,,,,,,,,,,
0,51,@@@@,,,x,,,,,,,,,,x,,,,,,,,,,
0,52,$$$$$$$$,,,x,,,,,,,,,,x,,,,,,,,,,
0,53,????,,,,,x,,,,,,,,,,x,,,,,,,,
0,54,Gud work guys,,,,,,x,,,,,,,,,,,,,,,,,x
0,55,58439===%=@+,,x,,,,,,,,,,,x,,,,,,,,,,
0,56,Envia estrada,,,,,,,,,,x,,,,x,,,,,,,,,
